query_idx,query,gold_idx,gold_paragraph
4,reasonable suspicion to conduct a dog sniff during a car stop,39150,"”  Rodriguez v. United States, 575 U.S. 348, 354 (2015).  In order to extend to prolong the stop “beyond the time required to complete the stop’s mission,” an officer needs “reasonable suspicion independent from the justification for a traffic stop. ”  State v. [...], 229 [...] 521, 540 (2017).  Accordingly, for instance, “[a]n officer may not conduct a canine sniff in a manner that prolongs a traffic stop beyond the time required to complete the stop’s mission, unless he possesses reasonable and articulable suspicion to do so. ”  Id. (citing Rodriguez, 575 U.S. at 357).  For the same or similar reasons, “unless there is a reasonable and articulable basis beyond the initial valid motor vehicle stop to continue the detention after completion of the valid traffic stop, any further detention to effectuate a consent search is unconstitutional."
5,Difference between reasonable suspicion and probable cause,8203,"Importantly, reasonable suspicion “‘does not deal with hard certainties, but with probabilities … [and] common-sense conclusions about human behavior. ’”  *State v. [...]*, 134 [...], 543 (1994) (quoting *U.S. v. Cortez*, 449 U.S. 411, 418-101 (1981)).  “Although a mere hunch does not create reasonable suspicion, the level of suspicion required is considerably less than proof of wrongdoing by a preponderance of the evidence, and obviously less than is necessary for probable cause. ”  State v. [...], 218 [...], 428 (2014) (internal citations omitted)."
5,Difference between reasonable suspicion and probable cause,48332,"[...] v. [...], 218 [...], 428 (2014).  Reasonable suspicion is a less demanding standard than probable cause not only in the sense that reasonable suspicion can be established with information that is different in quantity or content than that required to establish probable cause, but also in the sense that reasonable suspicion can arise from information that is less reliable than that required to show probable cause.  Alabama v. White, 496 U.S. 325, 330 (1990)."
5,Difference between reasonable suspicion and probable cause,64468,"[...] v. [...], 172 [...], 126 (2002) (quoting Terry v. Ohio, 392 U.S. 1, 21 (1968)).  Although reasonable suspicion is a less demanding standard than probable cause, “[n]either ‘inarticulate hunches’ nor an arresting officer’s subjective good faith can justify infringement of a citizen’s constitutionally guaranteed rights. ”"
5,Difference between reasonable suspicion and probable cause,46613,"*United States v. Sokolow*, 490 U.S. 1, 7 (1989); see also *State v. [...]*, 175 [...], 511 (2003).  “‘Reasonable suspicion’ is ‘less than proof . . . by a preponderance of evidence,’ and ‘less demanding than that for probable cause,’” and simply requires more than a hunch or “unparticularized suspicion. ”  [...], 408 [...] at 517 (quoting Sokolow, 490 U.S. at 7).  In short, officers must be able to articulate the reasons that led them to believe the defendant was engaged or about to engage in criminal conduct.  State v. [...], 110 [...], 678 (1988)."
5,Difference between reasonable suspicion and probable cause,3163,"In justifying an investigatory detention based on reasonable suspicion, a police officer must “be able to articulate something more than an “inchoate and unparticularized suspicion or hunch. ”  *State v. [...]*, 170 [...], 356 (2002); quoting United States v. Soklow, 490 U.S. 1, 7 (1989).  But the reasonable suspicion standard involves a significantly lower degree of objective evidentiary justification than does the probable cause test."
6,what factors are considered in assessing the voluntariness of consent to search a home,83352,"*Id.* (citations omitted).  Further, “[t]he failure to raise unsuccessful legal arguments does not constitute ineffective assistance of counsel. ”  *Worlock*, 117 [...] at 625.  “Consent to search is a ‘long-recognized’ exception to the warrant requirement. ”  *State v. Hagans*, 233 [...] 30, 39 (2018) (quoting *State v. Coles*, 218 [...] 322, 337 (2014)).  “[W]here the State seeks to justify a search on the basis of consent it has the burden of showing that the consent was voluntary, an essential element of which is knowledge of the right to refuse consent. ”  *State v. Johnson*, 68 [...] 349, 353-54 (1975).  “To be voluntary the consent must be ‘unequivocal and specific’ and ‘freely and intelligently given. ’”  *King*, 44 [...] at 352 (quoting *Judd v. United States*, 190 F.2d 649, 651 (D.C. Cir. 1951)).  In *King*, the [...] Supreme Court “delineated factors for use by our courts in considering the voluntariness of consent. ”  *Hagans*, 233 [...] at 39 (citing *King*, 44 [...] at 352-53).  Factors that tend to show that consent had been voluntarily given are: “(1) that consent was given where the accused had reason to believe that the police would find no contraband”; “(2) that the defendant admitted his guilt before consent, and “(3) that the defendant affirmatively assisted the police officers. ”  *King*, 44 [...] at 353 (internal citations omitted).  In contrast, factors that tend to show that the consent was coerced are: “(1) that consent was made by an individual already arrested,” “(2) that consent was obtained despite a denial of guilt,” “(3) that consent was obtained only after the accused had refused initial requests for consent to search,” “(4) that consent was given where the subsequent search resulted in a seizure of contraband which the accused must have known would be discovered,” and “(5) that consent was given while the defendant was handcuffed”.  *Id.* at 352-53 (internal citations omitted).  “[T]he existence or absence of one or more of the above factors is not determinative of the issue. ”  *Id.* at 353.  Rather, those factors are “only guideposts to aid a trial judge in arriving at his conclusion” and voluntariness must be determined based upon “the totality of the particular circumstances of the case”.  *Ibid.*"
6,what factors are considered in assessing the voluntariness of consent to search a home,66721,[Ibid. (citations omitted). ]  Factors potentially indicating voluntariness of consent include: (1) that consent was given where the accused had reason to believe that the police would find no contraband; (2) that the defendant admitted to guilt before his consent; and (3) that the defendant affirmatively assisted the police officers.
6,what factors are considered in assessing the voluntariness of consent to search a home,16415,"”  State v. [...], 218 [...], 315 (2014).  It is axiomatic that consent must be given voluntarily, and not under duress or coercion.  Ibid.; State v. [...], 332 [...] 452, 466 (App. Div. 2000).  “The heart of [[...]] voluntariness analysis hinges on whether an individual has knowingly waived his or her right to refuse consent. ”  State v. [...], 233 [...] 30, 40 (2018).  Consent is a factual question determined from the relevant circumstances.  State v. [...], 112 [...] 225, 264 (1988), cert. denied, 488 U.S. 1017 (1989); State v. [...], 461 [...] 80, 103 (App. Div. 2019), certif. denied, 241 [...] 92 (2020).  The Supreme Court in State v. [...] set forth various non-exhaustive factors to guide a trial judge’s analysis of whether consent was voluntarily given.  44 [...] 346, 352 (1965); see [...], 233 [...] at 39; [...], 461 [...] at 103-04.  Factors potentially indicating coerced consent include, (1) that consent was made by an individual already arrested; (2) that consent was obtained despite a denial of guilt; (3) that consent was obtained only after the accused had refused initial requests for consent to search; (4) that consent was given where the subsequent search resulted in a seizure of contraband which the accused must have known would be discovered; and, (5) that consent was given while the defendant was handcuffed.  _[...]_, 233 [...] at 39; _[...]_, 44 [...] at 352-53.  The factors potentially indicating voluntariness of consent include, (1) that consent was given where the accused had reason to believe that the police would find no contraband; (2) that the defendant admitted his guilt before consent; and, (3) that the defendant affirmatively assisted the police.  _[...]_, 233 [...] at 39-40; _[...]_, 44 [...] at 353.  As made clear in _[...]_, the above factors are “not commandments, but ‘guideposts to aid a trial judge in arriving at his conclusion."
6,what factors are considered in assessing the voluntariness of consent to search a home,22335,"Factors potentially indicating coerced consent include: (1) that consent was made by an individual already arrested; (2) that consent was obtained despite a denial of guilt; (3) that consent was obtained only after the accused had refused initial requests for consent to search; (4) that consent was given where the subsequent search resulted in a seizure of contraband which the accused must have known would be discovered; [and] (5) that consent was given while the defendant was handcuffed.  [Ibid. (citations omitted)]  Factors potentially indicating voluntariness of consent include: (1) that consent was given where the accused had reason to believe that the police would find no contraband; (2) that the defendant admitted to guilt before his consent; and (3) that the defendant affirmatively assisted the police officers.  [Id. at 53 (citations omitted). ]  The Court emphasized that those factors were not commandments, but ""guide posts"" to aid a trial judge in arriving at his conclusion.  Ibid.  The Court cautioned that ""the existence or absence of one or more of the factors mentioned above may be of great significance in another.""  Ibid.  Indeed, voluntariness depends on ""the totality of the particular circumstances of the case"" with each case ""necessarily depend[ing] upon its own facts.""  Ibid.  At the PCR hearing in the instant matter, counsel asserted that trial counsel was ineffective by failing to move to suppress the tire iron found in the Impala driven by [...]; specifically, that [...] had not given valid consent to search the car."
7,participatory standing,92028,"A.  [...] Has Standing To Challenge The Warrantless Stop Of [...]’s Car Because He Has A Participatory Interest In The Narcotics Seized.  The trial court erred in ruling that [...] lacked standing to challenge the warrantless stop of [...]’s car.  (4T 8-7 to 9-10)  The court concluded that because [...] was not charged with possessing the narcotics seized from [...]’s car during the stop, he lacked a sufficient connection to that evidence for standing purposes.  (4T 9-3 to 10)  In so doing, the court failed to consider whether [...] has a participatory interest in the evidence seized in light of its relationship to the underlying criminal activity being investigated: the delivery and distribution of heroin to and from [...]’s storage unit.  Because [...] plainly has a participatory interest in the seized evidence, the court’s ruling must be reversed."
7,participatory standing,89837,"[...] relies on the legal arguments from his initial brief and adds the following:  POINT I  [...] HAS A PARTICIPATORY INTEREST IN THE EVIDENCE SEIZED FROM [...]’S CAR AND THEREFORE HAS STANDING TO CHALLENGE THE WARRANTLESS STOP OF THE CAR.  In his initial brief, [...] argued that the narcotics seized from [...]’S car must be suppressed because police lacked a legal basis to initiate a traffic stop."
8,jury instruction on accomplice liability,16066,"[...] Furthermore, “whether a defendant is a principal or an accomplice, the State must prove that he possessed the mental state necessary to commit the offense. ”  State v. [...], [...] [...] [...], 458 (2009); [...].  “An accomplice is only guilty of the same crime committed by the principal if he shares the same criminal state of mind as the principal. ”  *State v. [...]*, [...] [...] [...], 95 (1965).  On the other hand, an accomplice who does not share the same intent or purpose as the principal may be guilty of a lesser or different crime than the principal.  *State v. [...]*, [...] [...] [...], 528 (App. Div. 1993).  To be found guilty as an accomplice, a defendant must not only share the same intent as the principal who commits the crime, but also must “at least indirectly participate[ ] in the commission of the criminal act. ”  *Ibid.*  Two persons who conspire to commit a crime and participate in some way in its commission are joint principals.  *In re [...]*, [...] [...] [...], 309 A.2d 619 (App. Div.), aff’d [...] [...] [...] (1973).  “If the State's theory is that a defendant acted as an accomplice, the trial court is obligated to provide the jury with accurate and understandable jury instructions regarding accomplice liability even without a request by defense counsel."
8,jury instruction on accomplice liability,49698,"Therefore, to find an accomplice guilty of the same offense as the principal, the jury must find that the accomplice “facilitate[d] or assist[ed] the exact crime the putative principal is accused of. ”  [...], 246 [...] at 68.  Our caselaw is clear that “[w]hen a prosecution is based on the theory that a defendant acted as an accomplice, the trial court is required to provide the jury with understandable instructions regarding accomplice liability."
9,find briefs about community caretaking,50064,"See State v. [...], 251 [...], 262 (2022) (community caretaking function “may be implicated where police observe something abnormal . . . concerning the operation of a motor vehicle. ”) (quotation marks omitted).  Based on Officer [...]’s own testimony, the community caretaking function was inapplicable in the instant case.  Even if Respondent’s argument relies on Officer [...]’s testimony that Appellant’s “vehicle [was] parked across multiple parking spots in such a way that other vehicles could not pull in,” this does not “clearly indicate[] that the vehicle and/or its driver were experiencing difficulties,” as Respondent asserts.  (Resp. Brief at 17).  Indeed, Officer [...] admitted that at the time he came upon Appellant’s vehicle he believed, based on approximately ten years of experience as a police officer with the [...] Police Department, that Appellant’s vehicle could be moved out of that spot by way of operation.  (2T7:17-20, 9:2-15).  The fact that it was approximately 2:18 a.m. when Officer [...] came upon Appellant, (2T7:25-8:2), at which time Officer [...] observed that the pizzeria in front of which Appellant’s vehicle was stopped was not open for business and that there were no other vehicles in the parking lot, (2T8:14-19), further evidences the fact that Appellant’s vehicle being stopped where it was was not abnormal.  Considering the circumstances (i.e., the time of day and the lack of other foot or car traffic), that Appellant may have temporarily pulled his vehicle over across multiple parking stalls is not so abnormal so as to implicate the community caretaking function."
10,show me paragraphs discussing warrantless car searches,16166,"”  *Id.* at 128-30.  There is an automobile exception to the warrant requirement under both the federal and [...] constitutions.  Under the federal constitution, “[i]f a car is readily mobile and probable cause exists to believe it contains contraband, the Fourth Amendment thus permits police to search the vehicle without more.  *Pennsylvania v. Labron*, 518 U.S. 938, 940 (1996).  “[T]he federal automobile exception thus does not require ‘a separate finding of exigency in addition to a finding of probable cause. ’”  *State v. Smart*, 253 [...] at 169 (quoting *Maryland v. Dyson*, 527 U.S. 465, 467 (1999)).  Additionally, “the federal constitution allows a police officer to conduct a warrantless search at headquarters merely because he could have done so on the side of the road. ”  *Witt*, 223 [...] at 448 (citing *Chambers v. Maroney*, 399 U.S. 42, 52 (1970)).  Under the [...] Constitution, however, “the automobile exception authorize[s] the warrantless search of an automobile only when the police have probable cause to believe that the vehicle contains contraband or evidence of an offense and the circumstances giving rise to probable cause are unforeseeable and spontaneous."
10,show me paragraphs discussing warrantless car searches,44622,"Defendant relies on the State’s Statement of Facts.  (Pb2-5)  LEGAL ARGUMENT POINT I  THE COURT SHOULD AFFIRM THE ORDER SUPPRESSING THE EVIDENCE  BECAUSE THE MOTION COURT CORRECTLY FOUND THAT THE CIRCUMSTANCES GIVING RISE TO PROBABLE CAUSE WERE NEITHER UNFORESEEABLE NOR SPONTANEOUS AND THUS THAT THE AUTOMOBILE EXCEPTION TO THE WARRANT REQUIREMENT DID NOT JUSTIFY THE WARRANTLESS SEARCH OF DEFENDANT’S VEHICLE.  This case involves a straightforward application of the Supreme Court’s recent holding in State v. [...] reaffirming that under the [...] Constitution, the automobile exception to the warrant requirement does not ¹  The following abbreviations are used:  1T – Motion Hearing (June 10, 2024)  2T – Motion Decision (June 24, 2024)  Pb – State’s Brief Pa – State’s Appendix Da – Defendant-Respondent’s Appendix permit a warrantless search of a vehicle unless “the circumstances giving rise to probable cause [were] ‘unforeseeable and spontaneous. ’”  [...] 156, 171 (2023).  Here, the trial court properly suppressed the evidence because it correctly found that the automobile exception to the warrant requirement did not apply.  Specifically, the Court correctly reasoned that probable cause was not spontaneous and unforeseeable where multiple narcotics officers went to the target parking lot specifically to look for narcotics activity, they surveilled [...] over the course of two hours after recognizing he was the registered owner of the suspect vehicle—known to police from a previous search warrant, and they conducted a Terry\(^2\) stop of [...] on foot ten to fifteen feet away from his vehicle.  (2T 17-21 to 18-3, 18-21 to 19-4)  Thus, the trial court’s order suppressing the evidence should be affirmed.  The federal and state constitutions both guarantee “the right of the people to be secure . . . against unreasonable searches or seizures."
11,establishing the reliability of a confidential informant,11584,"Because information provided by criminal informants “is not given in the spirit of a concerned citizen, but often is given in exchange for some concession, payment, or simply out of revenge against the subject . . . the information which they supply convey[s] a certain impression of unreliability. ”  *Ibid.* (quoting *State v.* [...], 184 N.W. 2d 836, 842 (Wis. 1971)); see also State v. [...], [...] 490, 506 (1986) (noting that anonymous informers, who “are themselves criminals in many instances,” are less reliable than ordinary citizens).  In evaluating whether a warrant affidavit demonstrates an informant’s credibility, courts consider two factors: veracity and basis of knowledge."
11,establishing the reliability of a confidential informant,59355,"An informant’s veracity may be established by “demonstrating that the informant proved to be reliable in previous police investigations. ”  State v. [...], 169 [...], 213 (2001).  “However, under the totality of the circumstances, ‘past instances of reliability do not conclusively establish an informant's reliability. ’”  Ibid. (quoting [...], 155 [...] at 94).  In this case, [...]’s testimony that the C.I. provided information on 20 prior occasions and was 75 percent reliable did not establish the C.I.’s reliability for a number of reasons."
11,establishing the reliability of a confidential informant,8443,"The lack of verifiable details in the tip further undermines the informant’s purported reliability; the only such details provided were the specific storage unit rented by [...] and [...]’s cellphone number.  (Dca 5-6)  He did not describe, for instance, the manner in which the drugs are packaged for delivery to the unit or what times of day [...] accepts deliveries.  See [...], 184 [...] at 558 (lack of detail in informant’s tip weakened basis of knowledge prong where the tip merely provided the address at which the defendant was selling cocaine and indicated that there were lookouts standing outside the apartment to alert drug dealers to the presence of police).  Thus, while [...] told police that he obtained the information personally and not secondhand, nothing else about the tip implies reliability."
12,does someone need to be advised about their right to refuse consent for a consent search?,49345,"For consent to be legally valid in [...], a person must be informed that he or she has the right to refuse to permit a search.4  If a consent search is undertaken, the internal affairs investigator shall follow standard law enforcement procedures and have the subject officer sign a consent form after being advised of the right to refuse such a search."
12,does someone need to be advised about their right to refuse consent for a consent search?,73586,"For consent to be legally valid in [...], a person must be informed that he or she has the right to refuse to permit a search.4  If a consent search is undertaken, the internal affairs investigator shall follow standard law enforcement procedures and have the subject officer sign a consent form after being advised of the right to refuse such a search.  7.9"
13,Briefs talking about severance of charges,74592,"”  Rule 3:7–7 also provides that “[r]elief from prejudicial joinder shall be afforded as provided by R. 3:15–2. ”  Rule 3:15–2(a) states that a court should grant severance if one defendant has made a statement implicating any other defendant and that portion of the statement cannot be effectively redacted.  That rule is inapplicable here.  Rule 3:15–2(b) provides that in cases where it appears that a defendant or the State is prejudiced by a permissible or mandatory joinder of offenses or of defendants in an indictment or accusation the court may order an election or separate trials of counts, grant a severance of defendants, or direct other appropriate relief."
13,Briefs talking about severance of charges,74481,"Although the interests of judicial economy counsel a “preference for joinder, Rule 3:15-2(b) vests a trial court with discretion to order separate trials if joinder would prejudice unfairly a defendant. ”  State v. [...], 145 [...] 334, 341 (1996) (citing State v. [...], 133 [...] 141, 150 (1993)).  “The decision whether to sever an indictment rests in the sound discretion of the trial court,” ibid., “is entitled to great deference on appeal. ”  State v. [...], 118 [...] 595, 603 (1990) (emphasis added)."
13,Briefs talking about severance of charges,47096,"Two or more offenses may be charged in the same indictment if the offenses are of the same or similar character, based on the same act or transaction, or on acts or transactions together or constituting part of common scheme or plan.  Rule 3:7-6.  A defendant may request an indictment be severed if he will be prejudiced by its joinder.  Rule 3:15-2.  A reviewing court must defer to a trial court’s decision regarding severance, unless that decision represents an abuse of discretion."
13,Briefs talking about severance of charges,53465,"The Trial Court erred by denying the Defense’s motion to sever (27a).  This trial should have centered around whether [...] attempted to kidnap [...] using an imitation firearm on January 25, 2021.  Instead, this matter was railroaded by the uncorroborated, uninvestigated, implausible allegations of a scorned ex-girlfriend.  The entire trial became about [...]’s tumultuous relationship with [...], her substance abuse issues, who ended the relationship.  While the jury ultimately saw through [...]’s false accusations, the damage had already been done as the Defense was forced to air the couple’s dirty laundry in order to discredit her claims.  Two or more offenses may be charged in the same indictment if the offenses are of the same or similar character, based on the same act or transaction, or on acts or transactions connected together or constituting part of a common scheme or plan.  [...] Ct. Rule 3:7-6.  “Although joinder is favored, economy and efficiency interests do not override a defendant’s right to a fair trial. ”  State v. Sterling, 215 [...] 65, 72 (2013).  Relief from prejudicial joinder may be sought according to Rule 3:15-2(b), which provides that a criminal defendant may request that an indictment be severed if it appears that the defendant will be prejudiced by the joinder.  Reviewing courts must generally defer to the trial court’s decision regarding severance, absent an abuse of discretion."
13,Briefs talking about severance of charges,5563,"The State agreed to sever the charges related to the robbery of the [...] store, and defendant was tried on the [...] store charges: first on the charges in Indictment No. [...], and thereafter on the charges in Indictment No. [...].  (Da12).  Defendant was found guilty on all counts of Indictment No. [...]."
13,Briefs talking about severance of charges,46238,"Analogously, where [...] would permit the introduction of the same evidence at each trial, severance is inappropriate because the defendant will not suffer any more prejudice, if any exists, in a joint trial than he would in separate trials.  See e.g., *State v. [...]*, 155 [...] 383, 451-52 (1998); *[...]*, 145 [...] at 341.  The court must assess whether prejudice is present, and the test is “whether, assuming the charges were tried separately, evidence of the offenses sought to be severed would be admissible under [...] in the trial of the remaining charges. ”  *Ibid.*  [...] requirements must be met."
14,What is custody for purposes of Miranda,20529,"“Two discrete inquiries” are involved: first, the circumstances surrounding the interrogation, and second, “would a reasonable person have felt he or she was at liberty to terminate the interrogation and leave. ”  Ibid.; see also [...], 222 [...] at 267 (“The relevant inquiry is determined objectively, based on ‘how a reasonable person in the suspect’s position would have understood his situation. ’”) (quoting Berkemer v. McCarty, 468 U.S. 420, 442 (1984)).  A defendant is in custody for Miranda purposes if “a reasonable person in defendant’s position, based on the nature of the police encounter, would not have believed that he was free to leave. ”  [...], 190 [...] at 616.  Where the police convey their suspicions to the suspect, that is relevant to whether a reasonable person would feel that he or she was free to leave."
14,What is custody for purposes of Miranda,17510,"“Whether a suspect has been placed in custody is fact-sensitive and sometimes not easily discernible. ”  *State v. [...]*, 171 [...], 343, 364 (2002).  “The critical determinant of custody is whether there has been a significant deprivation of the suspect's freedom of action based on the objective circumstances,” *State v. [...]*, 152 [...], 86, 103 (1997).  Relevant circumstances include “the time and place of the interrogation, the length of the interrogation, the nature of the questions, the conduct of the police, the status of the interrogator, the status of the suspect, and other such factors. ”  *State v. [...]*, 318 [...] 123, 133 (App. Div. 1999).  The central inquiry to establish custody is whether “a reasonable person have felt he or she was at liberty to terminate the interrogation and leave. ”  J.D.B. v. North Carolina, 564 U.S. 261, 270 (2011) (quoting Thompson v. Keohane, 516 U.S. 99 (1995)).  A defendant is in custody if “a reasonable person in defendant’s position, based on the nature of the police encounter would not have believed that he was free to leave. ”  State v. [...], 190 [...], 601, 615 (2007).  Our Supreme Court has held in State v. [...] that “the moment defendant was placed in the back of a patrol car and transported to the [...] PD, having been told that he could not leave the hospital with his parents, . . . a reasonable 17-year-old would no longer have felt free to leave."
14,What is custody for purposes of Miranda,20645,"In Miranda v. Arizona, the Supreme Court held that “an individual held for interrogation must be clearly informed that he has the right to consult with a lawyer and to have the lawyer with him during interrogation. ”  384 U.S. 436, 471 (1966).  These warnings must be given during any “custodial interrogation, which the Court defined as “questioning initiated by law enforcement officers after a person has been taken into custody or otherwise deprived of his freedom of action in any significant way. ”  Id. at 444.  Warning suspects of their rights is necessary due to the pressure inherent in an “interrogation of individuals in a police-dominated atmosphere[.]”  *Id.* at 445.  This is because “any police interview of an individual suspected of a crime has coercive aspects to it. ”  *Oregon v. Mathiason*, 429 U.S. 492, 495 (1977) (per curiam).  [...] Courts have held that “custody” under *Miranda* “does not necessitate a formal arrest, nor does it require physical restraint in a police station, nor the application of handcuffs, and may occur in a suspect's home or a public place other than a police station. ”  *State v. [...]*, 131 [...] 168, 175 (App. Div. 1974), *aff'd o.b.* 67 [...] 267 (1975).  See *Orozco v. Texas*, 394 U.S. 324 (1969) (police must give *Miranda* warnings to defendant arrested and questioned in his own bedroom)."
14,What is custody for purposes of Miranda,16878,"By contrast, our Supreme Court has specifically held that an individual is in custody where an officer has developed probable cause for an arrest, even if the officer has not yet formally arrested that individual.  [...], 190 [...] at 616, 622 (“[A] reasonable officer would have believed he or she had probable cause to arrest defendant for a drug transaction and would not have permitted defendant to leave.  Similarly, a reasonable person in defendant’s position, based on the nature of the police encounter, would not have believed that he was free to leave. ”).  A."
15,Double counting of aggravating factors and elements of crime,71680,"“When [a court] assesses whether a defendant’s conduct was especially ‘heinous, cruel, or depraved,’ a sentencing court must scrupulously avoid ‘double-counting’ facts that establish the elements of the relevant offense. ”  State v. [...], 217 [...] 57, 74-75 (2014).  Because “the Legislature ha[s] already considered the elements of an offense in the gradation of a crime,” double-counting the elements of an offense in support of an aggravating factor “erod[es] the basis for the gradation of offenses and the distinction between elements and aggravating circumstances."
